Player Display Name,Player First Name,Player Last Name,Player Primary Position,Session Title,Session Type,Session Day of Week,Session Week Number,Drill Title,Total Time,Total Distance,Distance Per Min,Distance Zone 4 (Absolute),Distance Zone 4 (Relative),Distance Zone 5 (Absolute),Distance Zone 5 (Relative),Distance Zone 6 (Absolute),Distance Zone 6 (Relative),High Speed Running (Absolute),High Speed Running (Relative),HSR Per Minute (Absolute),HSR Per Minute (Relative),Sprint Distance,Sprints,Entries Zone 4 (Absolute),Entries Zone 4 (Relative),Entries Zone 5 (Absolute),Entries Zone 5 (Relative),Entries Zone 6 (Absolute),Entries Zone 6 (Relative),Max Speed,Player Max Speed,Accelerations (Absolute),Accelerations (Relative),Acceleration Impulse,Accelerations Zone 4 (Absolute),Accelerations Zone 4 (Relative),Accelerations Zone 5 (Absolute),Accelerations Zone 5 (Relative),Accelerations Zone 6 (Absolute),Accelerations Zone 6 (Relative),Accelerations Total Distance Zone 4 (Absolute),Accelerations Total Distance Zone 4 (Relative),Accelerations Total Distance Zone 5 (Absolute),Accelerations Total Distance Zone 5 (Relative),Accelerations Total Distance Zone 6 (Absolute),Accelerations Total Distance Zone 6 (Relative),Accelerations Per Min (Absolute),Accelerations Per Min (Relative),Player Max Accel,Max Acceleration,Decelerations (Absolute),Decelerations (Relative),Decelerations Zone 4 (Absolute),Decelerations Zone 4 (Relative),Decelerations Zone 5 (Absolute),Decelerations Zone 5 (Relative),Decelerations Zone 6 (Absolute),Decelerations Zone 6 (Relative),Decelerations Total Distance Zone 4 (Absolute),Decelerations Total Distance Zone 4 (Relative),Decelerations Total Distance Zone 5 (Absolute),Decelerations Total Distance Zone 5 (Relative),Decelerations Total Distance Zone 6 (Absolute),Decelerations Total Distance Zone 6 (Relative),Decels Per Min (Absolute),Decelerations Per Min (Relative),Player Max Decel,Max Deceleration,Average Time Since Last Accel,Average Time Since Last Decel,HML Efforts,Dynamic Load Anterior,Dynamic Load Lateral,Dynamic Load Vertical,Mechanical Load,Total Loading,Time In Heart Rate Zone 5 (Absolute),Time In Heart Rate Zone 5 (Relative),Time In Heart Rate Zone 6 (Absolute),Time In Heart Rate Zone 6 (Relative),Average Heart Rate,Heart Rate Load,Max Heart Rate,Player Max Heart Rate,Step Balance,Fatigue Index,Drill Date,Session Date,Unnamed: 89
Manolis Siopis,Manolis,Siopis,Defensive Midfielder,Team Training,MD-2,Tuesday,32,Entire Session,71,6668,93.8,175,192,95,105,57,62,318,336,4.5,4.5,81,3,4,4,2,2,1,1,28.7,32.1,23,25,0,11,12,7,7,4,5,0,0,0,0,0,0,0.3,0.3,5.2,4.4,22,25,11,12,7,7,4,5,0,0,0,0,0,0,0.3,0.3,-5.3,-4.3,15.4,15.0,30,204,179,128,510,574,7.1,7.7,2.1,2.3,142,167,190,196,0.0,5.4,8/5/2025,8/5/2025,Panathinaikos
Manolis Siopis,Manolis,Siopis,Defensive Midfielder,Team Training,MD-2,Tuesday,32,Warm Up,14,1315,93.8,35,192,19,105,11,62,63,336,4.5,4.5,16,1,1,4,0,2,0,1,28.7,32.1,5,25,0,2,12,1,7,1,5,0,0,0,0,0,0,0.3,0.3,5.2,4.4,4,25,2,12,1,7,1,5,0,0,0,0,0,0,0.3,0.3,-5.3,-4.3,15.4,15.0,6,40,35,25,101,113,1.4,7.7,0.4,2.3,142,33,190,196,0.0,5.4,8/5/2025,8/5/2025,Panathinaikos
Manolis Siopis,Manolis,Siopis,Defensive Midfielder,Team Training,MD-2,Tuesday,32,Rondo 6v2,10,939,93.8,25,192,13,105,8,62,45,336,4.5,4.5,11,0,1,4,0,2,0,1,28.7,32.1,3,25,0,2,12,1,7,1,5,0,0,0,0,0,0,0.3,0.3,5.2,4.4,3,25,2,12,1,7,1,5,0,0,0,0,0,0,0.3,0.3,-5.3,-4.3,15.4,15.0,4,29,25,18,72,81,1.0,7.7,0.3,2.3,142,24,190,196,0.0,5.4,8/5/2025,8/5/2025,Panathinaikos
Manolis Siopis,Manolis,Siopis,Defensive Midfielder,Team Training,MD-2,Tuesday,32,Possession 4v4+4,11,1033,93.8,27,192,15,105,9,62,49,336,4.5,4.5,13,0,1,4,0,2,0,1,28.7,32.1,4,25,0,2,12,1,7,1,5,0,0,0,0,0,0,0.3,0.3,5.2,4.4,3,25,2,12,1,7,1,5,0,0,0,0,0,0,0.3,0.3,-5.3,-4.3,15.4,15.0,5,32,28,20,79,89,1.1,7.7,0.3,2.3,142,26,190,196,0.0,5.4,8/5/2025,8/5/2025,Panathinaikos
Manolis Siopis,Manolis,Siopis,Defensive Midfielder,Team Training,MD-2,Tuesday,32,Tactical 11v11 MD-2,21,1972,93.8,52,192,28,105,17,62,94,336,4.5,4.5,24,1,1,4,1,2,0,1,28.7,32.1,7,25,0,3,12,2,7,1,5,0,0,0,0,0,0,0.3,0.3,5.2,4.4,7,25,3,12,2,7,1,5,0,0,0,0,0,0,0.3,0.3,-5.3,-4.3,15.4,15.0,9,60,53,38,151,170,2.1,7.7,0.6,2.3,142,49,190,196,0.0,5.4,8/5/2025,8/5/2025,Panathinaikos
Manolis Siopis,Manolis,Siopis,Defensive Midfielder,Team Training,MD-2,Tuesday,32,Set Pieces,15,1409,93.8,37,192,20,105,12,62,67,336,4.5,4.5,17,1,1,4,0,2,0,1,28.7,32.1,5,25,0,2,12,1,7,1,5,0,0,0,0,0,0,0.3,0.3,5.2,4.4,5,25,2,12,1,7,1,5,0,0,0,0,0,0,0.3,0.3,-5.3,-4.3,15.4,15.0,6,43,38,27,108,121,1.5,7.7,0.4,2.3,142,35,190,196,0.0,5.4,8/5/2025,8/5/2025,Panathinaikos
Giorgos Kiriakopoulos,Giorgos,Kiriakopoulos,Full Back,Team Training,MD-2,Tuesday,32,Entire Session,75,6987,93.1,287,294,156,160,103,106,522,521,7.0,7.0,147,5,7,7,3,3,2,2,30.4,34.2,23,24,0,11,12,7,7,4,4,0,0,0,0,0,0,0.3,0.3,5.4,4.2,23,24,11,12,7,7,4,4,0,0,0,0,0,0,0.3,0.3,-5.6,-4.6,14.0,12.6,32,219,191,137,547,615,7.5,7.7,2.2,2.3,144,174,190,196,-0.0,4.9,8/5/2025,8/5/2025,Panathinaikos
Giorgos Kiriakopoulos,Giorgos,Kiriakopoulos,Full Back,Team Training,MD-2,Tuesday,32,Warm Up,15,1397,93.1,57,294,31,160,21,106,104,521,7.0,7.0,29,1,1,7,1,3,0,2,30.4,34.2,5,24,0,2,12,1,7,1,4,0,0,0,0,0,0,0.3,0.3,5.4,4.2,5,24,2,12,1,7,1,4,0,0,0,0,0,0,0.3,0.3,-5.6,-4.6,14.0,12.6,6,44,38,27,109,123,1.5,7.7,0.4,2.3,144,35,190,196,-0.0,4.9,8/5/2025,8/5/2025,Panathinaikos
Giorgos Kiriakopoulos,Giorgos,Kiriakopoulos,Full Back,Team Training,MD-2,Tuesday,32,Rondo 6v2,11,1025,93.1,42,294,23,160,15,106,77,521,7.0,7.0,22,1,1,7,0,3,0,2,30.4,34.2,3,24,0,2,12,1,7,1,4,0,0,0,0,0,0,0.3,0.3,5.4,4.2,3,24,2,12,1,7,1,4,0,0,0,0,0,0,0.3,0.3,-5.6,-4.6,14.0,12.6,5,32,28,20,80,90,1.1,7.7,0.3,2.3,144,26,190,196,-0.0,4.9,8/5/2025,8/5/2025,Panathinaikos
Giorgos Kiriakopoulos,Giorgos,Kiriakopoulos,Full Back,Team Training,MD-2,Tuesday,32,Possession 4v4+4,12,1118,93.1,46,294,25,160,16,106,84,521,7.0,7.0,24,1,1,7,0,3,0,2,30.4,34.2,4,24,0,2,12,1,7,1,4,0,0,0,0,0,0,0.3,0.3,5.4,4.2,4,24,2,12,1,7,1,4,0,0,0,0,0,0,0.3,0.3,-5.6,-4.6,14.0,12.6,5,35,31,22,88,98,1.2,7.7,0.4,2.3,144,28,190,196,-0.0,4.9,8/5/2025,8/5/2025,Panathinaikos
Giorgos Kiriakopoulos,Giorgos,Kiriakopoulos,Full Back,Team Training,MD-2,Tuesday,32,Tactical 11v11 MD-2,22,2050,93.1,84,294,46,160,30,106,153,521,7.0,7.0,43,1,2,7,1,3,1,2,30.4,34.2,7,24,0,3,12,2,7,1,4,0,0,0,0,0,0,0.3,0.3,5.4,4.2,7,24,3,12,2,7,1,4,0,0,0,0,0,0,0.3,0.3,-5.6,-4.6,14.0,12.6,9,64,56,40,160,180,2.2,7.7,0.6,2.3,144,51,190,196,-0.0,4.9,8/5/2025,8/5/2025,Panathinaikos
