Player Display Name,Player First Name,Player Last Name,Player Primary Position,Session Title,Session Type,Session Day of Week,Session Week Number,Drill Title,Total Time,Total Distance,Distance Per Min,Distance Zone 4 (Absolute),Distance Zone 4 (Relative),Distance Zone 5 (Absolute),Distance Zone 5 (Relative),Distance Zone 6 (Absolute),Distance Zone 6 (Relative),High Speed Running (Absolute),High Speed Running (Relative),HSR Per Minute (Absolute),HSR Per Minute (Relative),Sprint Distance,Sprints,Entries Zone 4 (Absolute),Entries Zone 4 (Relative),Entries Zone 5 (Absolute),Entries Zone 5 (Relative),Entries Zone 6 (Absolute),Entries Zone 6 (Relative),Max Speed,Player Max Speed,Accelerations (Absolute),Accelerations (Relative),Acceleration Impulse,Accelerations Zone 4 (Absolute),Accelerations Zone 4 (Relative),Accelerations Zone 5 (Absolute),Accelerations Zone 5 (Relative),Accelerations Zone 6 (Absolute),Accelerations Zone 6 (Relative),Accelerations Total Distance Zone 4 (Absolute),Accelerations Total Distance Zone 4 (Relative),Accelerations Total Distance Zone 5 (Absolute),Accelerations Total Distance Zone 5 (Relative),Accelerations Total Distance Zone 6 (Absolute),Accelerations Total Distance Zone 6 (Relative),Accelerations Per Min (Absolute),Accelerations Per Min (Relative),Player Max Accel,Max Acceleration,Decelerations (Absolute),Decelerations (Relative),Decelerations Zone 4 (Absolute),Decelerations Zone 4 (Relative),Decelerations Zone 5 (Absolute),Decelerations Zone 5 (Relative),Decelerations Zone 6 (Absolute),Decelerations Zone 6 (Relative),Decelerations Total Distance Zone 4 (Absolute),Decelerations Total Distance Zone 4 (Relative),Decelerations Total Distance Zone 5 (Absolute),Decelerations Total Distance Zone 5 (Relative),Decelerations Total Distance Zone 6 (Absolute),Decelerations Total Distance Zone 6 (Relative),Decels Per Min (Absolute),Decelerations Per Min (Relative),Player Max Decel,Max Deceleration,Average Time Since Last Accel,Average Time Since Last Decel,HML Efforts,Dynamic Load Anterior,Dynamic Load Lateral,Dynamic Load Vertical,Mechanical Load,Total Loading,Time In Heart Rate Zone 5 (Absolute),Time In Heart Rate Zone 5 (Relative),Time In Heart Rate Zone 6 (Absolute),Time In Heart Rate Zone 6 (Relative),Average Heart Rate,Heart Rate Load,Max Heart Rate,Player Max Heart Rate,Step Balance,Fatigue Index,Drill Date,Session Date,Unnamed: 89
Konstantinos Tzolakis,Konstantinos,Tzolakis,Goalkeeper,Team Training,MD-3,Tuesday,36,Team Training,65,3177,48.9,32,32,17,17,7,7,58,60,0.89,0.89,10,0,0,0,0,0,0,0,24.7,27.3,10,10,,5,5,3,3,2,2,,,,,,,0.17,0.17,5.93,4.99,10,10,5,5,3,3,2,2,,,,,,,0.17,0.17,-5.48,-5.16,11.8,12.8,14,88,77,55,220,234,6.5,6.5,1.9,1.9,140,79,186,192,51.6,5.4,9/2/2025,9/2/2025,
Odysseas Vlachodimos,Odysseas,Vlachodimos,Goalkeeper,Team Training,MD-3,Tuesday,36,Team Training,80,4476,55.9,44,44,24,24,11,11,81,85,1.01,1.01,15,1,1,1,0,0,0,0,23.5,27.0,16,16,,8,8,4,4,3,3,,,,,,,0.2,0.2,5.28,5.22,15,15,7,7,4,4,3,3,,,,,,,0.19,0.19,-5.91,-4.62,14.1,17.0,17,144,126,90,359,396,8.0,8.0,2.4,2.4,143,112,190,197,50.0,2.8,9/2/2025,9/2/2025,
Christos Mandas,Christos,Mandas,Goalkeeper,Team Training,MD-3,Tuesday,36,Team Training,88,4376,49.7,39,39,21,21,10,10,71,69,0.8,0.8,15,1,0,0,0,0,0,0,24.2,27.5,15,15,,7,7,4,4,3,3,,,,,,,0.18,0.18,5.89,5.41,16,16,8,8,4,4,3,3,,,,,,,0.18,0.18,-5.55,-4.88,16.6,19.5,21,133,116,83,332,356,8.8,8.8,2.6,2.6,152,109,196,193,50.8,6.7,9/2/2025,9/2/2025,
Giorgos Vagiannidis,Giorgos,Vagiannidis,Full Back,Team Training,MD-3,Tuesday,36,Team Training,80,8865,110.8,369,369,201,201,120,120,671,684,8.39,8.39,172,6,9,9,4,4,2,2,30.5,34.6,30,30,,15,15,9,9,6,6,,,,,,,0.38,0.38,4.96,3.28,29,29,14,14,8,8,5,5,,,,,,,0.36,0.36,-5.81,-4.67,17.7,14.7,39,274,240,171,685,770,8.0,8.0,2.4,2.4,153,222,188,196,50.0,7.8,9/2/2025,9/2/2025,
Kostas Tsimikas,Kostas,Tsimikas,Full Back,Team Training,MD-3,Tuesday,36,Team Training,65,7610,117.1,285,285,155,155,131,131,518,474,7.97,7.97,186,7,7,7,3,3,2,2,31.0,34.2,26,26,,13,13,7,7,5,5,,,,,,,0.41,0.41,6.14,5.14,27,27,13,13,8,8,5,5,,,,,,,0.43,0.43,-5.46,-3.18,15.0,19.2,32,234,205,146,585,623,6.5,6.5,1.9,1.9,149,190,190,196,48.1,2.0,9/2/2025,9/2/2025,
Lazaros Rota,Lazaros,Rota,Full Back,Team Training,MD-3,Tuesday,36,Team Training,65,7279,112.0,262,262,143,143,91,91,477,432,7.33,7.33,130,5,6,6,3,3,1,1,30.1,34.5,24,24,,12,12,7,7,4,4,,,,,,,0.38,0.38,5.63,4.52,22,22,11,11,6,6,4,4,,,,,,,0.34,0.34,-6.35,-5.41,13.0,9.9,34,244,213,152,609,689,6.5,6.5,1.9,1.9,144,182,186,197,50.8,4.0,9/2/2025,9/2/2025,
Ntinos Mavropanos,Ntinos,Mavropanos,Central Defender,Team Training,MD-3,Tuesday,36,Team Training,72,7306,101.5,217,217,118,118,57,57,394,379,5.48,5.48,81,3,5,5,2,2,1,1,28.7,31.9,22,22,,11,11,6,6,4,4,,,,,,,0.31,0.31,6.01,3.32,20,20,10,10,6,6,4,4,,,,,,,0.28,0.28,-5.19,-3.99,14.9,17.7,35,203,178,127,509,573,7.2,7.2,2.2,2.2,141,183,188,194,48.5,8.6,9/2/2025,9/2/2025,
Konstantinos Koulierakis,Konstantinos,Koulierakis,Central Defender,Team Training,MD-3,Tuesday,36,Team Training,72,7027,97.6,169,169,92,92,62,62,308,298,4.27,4.27,88,3,4,4,2,2,1,1,29.1,32.2,21,21,,10,10,6,6,4,4,,,,,,,0.3,0.3,4.79,4.69,21,21,10,10,6,6,4,4,,,,,,,0.3,0.3,-6.36,-3.13,18.7,9.7,35,222,195,139,556,624,7.2,7.2,2.2,2.2,148,176,185,197,48.9,8.2,9/2/2025,9/2/2025,
Pantelis Hatzidiakos,Pantelis,Hatzidiakos,Central Defender,Team Training,MD-3,Tuesday,36,Team Training,72,6735,93.5,174,174,95,95,55,55,316,288,4.39,4.39,78,3,4,4,2,2,1,1,28.4,32.0,23,23,,11,11,7,7,4,4,,,,,,,0.33,0.33,5.21,4.28,24,24,12,12,7,7,4,4,,,,,,,0.34,0.34,-5.15,-4.35,15.7,12.9,27,220,192,137,549,642,7.2,7.2,2.2,2.2,151,168,196,194,51.8,8.2,9/2/2025,9/2/2025,
Panagiotis Retsos,Panagiotis,Retsos,Central Defender,Team Training,MD-3,Tuesday,36,Team Training,72,7564,105.1,191,191,104,104,55,55,347,342,4.82,4.82,78,3,4,4,2,2,1,1,28.8,31.8,28,28,,14,14,8,8,5,5,,,,,,,0.4,0.4,5.47,3.69,28,28,14,14,8,8,5,5,,,,,,,0.39,0.39,-5.09,-3.75,10.2,15.6,34,214,187,134,535,583,7.2,7.2,2.2,2.2,154,189,187,198,51.0,7.1,9/2/2025,9/2/2025,
