player_number,last_name,test_date,jump_height_cm,mrsi,peak_force,time_to_peak_force_ms,mean_force_kg,time_to_takeoff_ms,asym_pct
2,Tzolakis,2025-09-02,43.0,0.54,2970,301,2284,216,-2.1
3,Vlachodimos,2025-09-02,39.3,0.62,2846,319,1657,223,-5.0
4,Mandas,2025-09-02,41.1,0.47,2866,243,2339,197,-14.5
5,Vagiannidis,2025-09-02,36.7,0.51,2219,258,2209,198,-1.1
6,Tsimikas,2025-09-02,39.2,0.62,3066,286,1960,189,0.5
7,Rota,2025-09-02,33.8,0.52,2615,320,1634,232,-1.9
8,Mavropanos,2025-09-02,37.6,0.36,2987,309,1850,205,0.9
9,Koulierakis,2025-09-02,45.1,0.62,2904,305,2230,250,-1.1
10,Hatzidiakos,2025-09-02,44.2,0.4,2702,273,1951,218,-2.3
11,Retsos,2025-09-02,43.9,0.46,2440,252,1620,226,2.3
12,Kiriakopoulos,2025-09-02,45.9,0.51,2854,268,2319,258,-3.7
13,Kourbelis,2025-09-02,40.7,0.48,2268,293,2022,243,0.7
14,Zafeiris,2025-09-02,37.4,0.36,2730,265,1752,229,-1.9
15,Siopis,2025-09-02,34.3,0.53,2218,314,1912,184,1.4
16,Mouzakitis,2025-09-02,34.4,0.51,2288,265,1668,234,0.8
17,Bakasetas,2025-09-02,41.4,0.37,2616,256,1696,212,-12.1
19,Konstantelias,2025-09-02,37.4,0.45,2821,276,2286,236,-1.7
20,Pelkas,2025-09-02,34.1,0.58,2850,270,2041,240,-2.7
21,Karetsas,2025-09-02,40.0,0.39,2458,275,2182,205,-1.1
22,Tzolis,2025-09-02,36.5,0.58,2754,262,1781,243,5.7
23,Masouras,2025-09-02,36.2,0.42,2727,287,1904,191,15.7
24,Pavlidis,2025-09-02,35.4,0.6,2449,289,1706,255,2.6
2,Tzolakis,2025-09-06,40.4,0.62,2350,319,2211,180,-6.5
5,Vagiannidis,2025-09-06,45.3,0.52,2436,267,2084,204,-1.3
6,Tsimikas,2025-09-06,42.2,0.56,2758,262,2051,243,-2.2
8,Mavropanos,2025-09-06,33.4,0.58,2432,301,1848,222,0.2
9,Koulierakis,2025-09-06,44.3,0.52,2391,293,2007,232,-0.3
11,Retsos,2025-09-06,36.6,0.49,2357,245,2132,203,-1.6
13,Kourbelis,2025-09-06,36.9,0.47,2296,253,1841,243,-0.4
14,Zafeiris,2025-09-06,44.8,0.4,2716,280,2263,224,-2.1
16,Mouzakitis,2025-09-06,32.9,0.49,2651,285,2140,212,-2.0
17,Bakasetas,2025-09-06,35.8,0.55,2665,317,2273,256,-11.9
18,Mantalos,2025-09-06,40.1,0.43,2930,255,1961,229,1.2
19,Konstantelias,2025-09-06,43.9,0.44,2714,256,1739,189,-1.4
20,Pelkas,2025-09-06,33.8,0.53,2591,284,1702,243,3.9
21,Karetsas,2025-09-06,36.5,0.44,2582,289,2091,228,-1.2
22,Tzolis,2025-09-06,34.6,0.44,3020,319,1916,193,10.6
23,Masouras,2025-09-06,42.2,0.54,2275,243,2356,222,19.1
24,Pavlidis,2025-09-06,33.5,0.37,2963,258,2377,223,2.8
25,Ioannidis,2025-09-06,37.3,0.58,2216,253,2396,232,11.7
2,Tzolakis,2025-10-06,40.2,0.39,3084,259,1607,230,-3.9
3,Vlachodimos,2025-10-06,38.6,0.55,2849,305,2225,206,-1.4
