player_number,last_name,gps_name,position,aliases,active,club
2,Tzolakis,Tzolakis,Goalkeeper,,true,Olympiacos
3,Vlachodimos,Vlachodimos,Goalkeeper,,true,Sevilla
4,Mandas,Mandas,Goalkeeper,,true,Bournemouth
5,Vagiannidis,Vagiannidis,Full Back,,true,Sporting CP
6,Tsimikas,Tsimikas,Full Back,,true,AS Roma
7,Rota,Rota,Full Back,,true,AEK Athens
8,Mavropanos,Mavropanos,Central Defender,,true,West Ham
9,Koulierakis,Koulierakis,Central Defender,,true,Wolfsburg
10,Hatzidiakos,Hatzidiakos,Central Defender,,true,FC Copenhagen
11,Retsos,Retsos,Central Defender,,true,Olympiacos
12,Kiriakopoulos,Kiriakopoulos,Full Back,,true,Panathinaikos
13,Kourbelis,Kourbelis,Defensive Midfielder,,true,Al-Khaleej
14,Zafeiris,Zafeiris,Defensive Midfielder,,true,PAOK
15,Siopis,Siopis,Defensive Midfielder,,true,Panathinaikos
16,Mouzakitis,Mouzakitis,Defensive Midfielder,,true,Olympiacos
17,Bakasetas,Bakasetas,Offensive Midfielder,,true,Panathinaikos
18,Mantalos,Mantalos,Offensive Midfielder,,true,AEK Athens
19,Konstantelias,Konstantelias,Offensive Midfielder,,true,PAOK
20,Pelkas,Pelkas,Offensive Midfielder,,true,PAOK
21,Karetsas,Karetsas,Winger,,true,Genk
22,Tzolis,Tzolis,Winger,,true,Club Brugge
23,Masouras,Masouras,Winger,,true,Al-Khaleej
24,Pavlidis,Pavlidis,Striker,,true,Benfica
25,Ioannidis,Ioannidis,Striker,,true,Sporting CP
26,Tetteh,Tetteh,Striker,,true,Panathinaikos
27,Kostoulas,Kostoulas,Striker,,true,Brighton
28,Triantis,Triantis,Defensive Midfielder,,true,Minnesota United
29,Giannoulis,Giannoulis,Full Back,,true,Augsburg
30,Douvikas,Douvikas,Striker,,true,Como
31,Tsiftsis,Tsiftsis,Goalkeeper,,true,PAOK
32,Ntoi,Ntoi,Central Defender,,true,Rio Ave
33,Androutsos,Androutsos,Full Back,,true,OFI Crete
34,Kyziridis,Kyziridis,Winger,,true,Hearts
