player_number,last_name,test_date,jump_height_cm,mrsi,peak_force,time_to_peak_force_ms,mean_force_kg,time_to_takeoff_ms,asym_pct
101,Botis,2025-09-05,35.2,0.51,2916,304,2231,184,0.4
101,Botis,2025-09-05,42.6,0.44,2845,306,2187,231,-4
101,Botis,2025-09-05,41.5,0.44,3098,298,2181,204,4
101,Botis,2025-09-05,40.3,0.55,2723,279,2287,234,12.9
101,Botis,2025-09-05,42.2,0.41,2929,274,2411,205,1.4
101,Botis,2025-09-05,43.6,0.42,2933,309,2045,191,-6.4
101,Botis,2025-09-05,35.6,0.47,3079,294,2488,215,2.9
101,Botis,2025-09-05,43.4,0.54,2793,269,2209,220,-4.8
101,Botis,2025-09-05,38.4,0.48,3051,306,2001,207,4.8
101,Botis,2025-09-05,38.9,0.61,3031,307,2397,222,0.8
101,Botis,2025-09-05,37.4,0.42,2716,260,2239,218,1
101,Botis,2025-09-05,37.2,0.55,2738,312,2229,217,0.2
101,Botis,2025-09-05,37.5,0.54,2629,272,2315,209,-2.4
101,Botis,2025-09-05,38.3,0.52,2809,269,2369,217,9.8
101,Botis,2025-09-05,40.4,0.49,3023,282,2162,238,-2.9
101,Botis,2025-09-05,35.8,0.52,2551,273,2392,217,-5.2
101,Botis,2025-09-05,39.9,0.5,3228,310,2398,212,-10
101,Botis,2025-09-05,38.5,0.61,3030,251,2225,204,-10.4
101,Botis,2025-10-06,35.6,0.42,2970,307,2155,178,8.9
101,Botis,2025-10-06,38.5,0.43,2881,248,2098,213,-8.7
101,Botis,2025-10-06,43.2,0.59,2869,307,2330,263,10.4
101,Botis,2025-10-06,41.9,0.52,2962,288,2382,195,0.5
101,Botis,2025-10-06,42.4,0.42,2655,294,2036,270,-3.6
101,Botis,2025-10-06,40.2,0.61,2987,281,2474,224,0.4
101,Botis,2025-10-06,39.6,0.43,2902,306,2107,220,-4.8
101,Botis,2025-10-06,38.8,0.62,2803,311,2385,193,-3.7
101,Botis,2025-10-06,34,0.39,2651,308,2006,210,-1.1
101,Botis,2025-10-06,39.3,0.58,2794,294,2119,200,0.4
101,Botis,2025-10-06,41.4,0.42,2773,283,2116,223,6.4
101,Botis,2025-10-06,40.8,0.58,2861,311,2167,201,-5.5
101,Botis,2025-10-06,37.1,0.62,2984,330,2204,189,-4.4
101,Botis,2025-10-06,39.1,0.56,3137,310,2346,221,-1.8
101,Botis,2025-10-06,40.3,0.48,2638,296,2271,212,5.7
101,Botis,2025-10-10,42.9,0.59,2920,311,2430,243,12.2
101,Botis,2025-11-10,38,0.44,3321,291,2078,226,2.5
101,Botis,2025-11-10,33.8,0.57,2930,288,2355,169,-2.4
101,Botis,2025-11-10,39.6,0.46,2935,277,2431,209,1.1
101,Botis,2025-11-10,39.1,0.57,3248,297,2350,214,-1.6
101,Botis,2025-11-10,40.3,0.51,3152,365,2185,237,1.8
101,Botis,2025-11-10,37.5,0.51,3083,308,2167,220,2.1
101,Botis,2025-11-10,39.9,0.4,3184,290,2381,193,2.4
101,Botis,2025-11-10,41.1,0.59,2829,291,2196,236,-0.3
101,Botis,2025-11-10,38.2,0.51,2902,299,2199,211,-0.4
101,Botis,2025-11-10,40.8,0.53,3006,306,2224,205,3
101,Botis,2025-11-10,41.3,0.55,2880,299,2389,244,-0.4
101,Botis,2025-11-10,43.7,0.56,2750,256,1985,239,-6.6
101,Botis,2025-11-10,42.1,0.59,2879,293,2435,212,-4.1
101,Botis,2025-11-10,44.6,0.62,2560,267,2281,213,5.4
101,Botis,2025-11-10,37.1,0.39,3111,263,2276,231,7.7
101,Botis,2025-11-10,41.5,0.51,2758,338,2209,197,-10.3
101,Botis,2025-11-14,36.7,0.51,2872,330,2402,185,-6.6
101,Botis,2025-11-14,42,0.61,2739,276,2120,206,-5.7
101,Botis,2025-11-14,42.5,0.51,2927,351,2140,211,-11.6
101,Botis,2025-11-14,42.1,0.43,3037,289,2268,207,9
